DATE,CPIAUCSL_PC1,MICH
1978-01-01,6.81431,5.2
1978-02-01,6.23946,6.4
1978-03-01,6.37584,6.3
1978-04-01,6.50000,6.7
1978-05-01,7.14286,6.9
1978-06-01,7.43802,6.5
1978-07-01,7.73026,6.6
1978-08-01,7.85597,8.7
1978-09-01,8.48287,6.9
1978-10-01,8.92857,7.4
1978-11-01,8.87097,7.5
1978-12-01,8.98876,7.3
1979-01-01,9.25040,7.8
1979-02-01,9.84127,9.3
1979-03-01,10.25237,8.8
1979-04-01,10.48513,9.7
1979-05-01,10.69767,9.8
1979-06-01,11.07692,9.9
1979-07-01,11.45038,9.9
1979-08-01,11.83612,9.9
1979-09-01,11.87970,9.6
1979-10-01,12.07154,9.0
1979-11-01,12.59259,10.0
1979-12-01,13.25479,9.9
1980-01-01,13.86861,10.4
1980-02-01,14.16185,10.0
1980-03-01,14.59227,10.2
1980-04-01,14.58924,10.1
1980-05-01,14.42577,8.6
1980-06-01,14.26593,8.5
1980-07-01,13.15068,9.6
1980-08-01,12.89009,7.6
1980-09-01,12.76882,9.1
1980-10-01,12.63298,9.6
1980-11-01,12.63158,8.6
1980-12-01,12.35371,9.7
1981-01-01,11.79487,9.5
1981-02-01,11.39241,8.6
1981-03-01,10.61174,7.2
1981-04-01,10.13597,8.0
1981-05-01,9.79192,7.3
1981-06-01,9.69697,7.1
1981-07-01,10.77482,6.8
1981-08-01,10.81731,5.8
1981-09-01,10.96544,6.9
1981-10-01,10.27155,6.7
1981-11-01,9.57944,7.3
1981-12-01,8.91204,5.3
1982-01-01,8.25688,5.1
1982-02-01,7.61364,5.2
1982-03-01,6.88488,4.2
1982-04-01,6.62177,4.7
1982-05-01,6.91193,3.5
1982-06-01,7.18232,4.6
1982-07-01,6.55738,5.0
1982-08-01,5.96529,4.8
1982-09-01,4.94092,4.5
1982-10-01,5.03212,4.7
1982-11-01,4.47761,4.5
1982-12-01,3.82572,3.7
1983-01-01,3.70763,2.8
1983-02-01,3.48469,3.0
1983-03-01,3.59029,1.8
1983-04-01,4.00000,3.4
1983-05-01,3.44108,3.2
1983-06-01,2.47423,3.2
1983-07-01,2.35897,3.2
1983-08-01,2.45650,3.3
1983-09-01,2.76356,3.3
1983-10-01,2.75229,3.7
1983-11-01,3.16327,3.5
1983-12-01,3.78710,3.5
1984-01-01,4.29009,3.2
1984-02-01,4.69388,3.3
1984-03-01,4.89297,3.4
1984-04-01,4.55466,3.9
1984-05-01,4.33468,4.2
1984-06-01,4.32596,4.2
1984-07-01,4.30862,3.4
1984-08-01,4.29570,3.0
1984-09-01,4.28287,3.0
1984-10-01,4.26587,3.5
1984-11-01,4.15430,3.4
1984-12-01,4.04339,3.3
1985-01-01,3.52595,2.9
1985-02-01,3.60624,3.1
1985-03-01,3.79009,3.0
1985-04-01,3.58180,3.3
1985-05-01,3.57488,3.2
1985-06-01,3.66442,3.4
1985-07-01,3.45821,2.8
1985-08-01,3.35249,2.8
1985-09-01,3.24737,2.9
1985-10-01,3.23501,3.3
1985-11-01,3.51377,3.1
1985-12-01,3.79147,3.5
1986-01-01,3.97351,2.9
1986-02-01,3.19849,2.8
1986-03-01,2.15356,2.3
1986-04-01,1.58879,2.4
1986-05-01,1.67910,2.7
1986-06-01,1.76744,2.9
1986-07-01,1.67131,2.8
1986-08-01,1.57553,3.0
