userid,std dev diff,expectations,first_forecast_date,total_predictions,std_dev_sequence
70000238,"[1.0, -1.0, 0.0]","[3.0, 10.0, 3.0, 3.0]",2013-06-01,4,"[0.0, 1.0, 0.0, 0.0]"
70000239,"[-8.0, 9.0, -3.0]","[8.0, 9.0, 14.0, 8.0]",2013-06-01,4,"[9.0, 1.0, 10.0, 7.0]"
70000294,"[55.0, -56.0]","[6.0, 25.0, 3.0]",2013-06-01,3,"[1.0, 56.0, 0.0]"
70000312,"[7.0, -2.0, 0.0]","[3.0, 5.0, 4.0, 4.0]",2013-06-01,4,"[1.0, 8.0, 6.0, 6.0]"
70000327,"[2.0, 6.0, -3.0]","[4.0, 5.0, 5.0, 4.0]",2013-06-01,4,"[15.0, 17.0, 23.0, 20.0]"
70000337,"[-16.0, 2.0, -2.0, 1.0, 7.0]","[6.0, 1.0, 1.0, 2.0, 2.0, 5.0]",2013-06-01,6,"[17.0, 1.0, 3.0, 1.0, 2.0, 9.0]"
70000339,"[0.0, -2.0, 3.0]","[5.0, 5.0, 4.0, 5.0]",2013-06-01,4,"[4.0, 4.0, 2.0, 5.0]"
70000341,"[1.0, 1.0, 6.0, -2.0]","[3.0, 4.0, 9.0, 7.0, 10.0]",2013-06-01,5,"[0.0, 1.0, 2.0, 8.0, 6.0]"
70003183,[-3.0],"[-1.0, 1.0]",2013-06-01,2,"[69.0, 66.0]"
70003202,"[-6.0, 3.0, 12.0, 0.0]","[1.0, 2.0, 2.0, 2.0, 1.0]",2013-06-01,5,"[8.0, 2.0, 5.0, 17.0, 17.0]"
70003205,"[0.0, 0.0, 14.0]","[4.0, 4.0, 4.0, 8.0]",2013-06-01,4,"[1.0, 1.0, 1.0, 15.0]"
70003208,"[0.0, 0.0, 0.0]","[1.0, 1.0, 3.0, 3.0]",2013-06-01,4,"[0.0, 0.0, 0.0, 0.0]"
70003238,"[0.0, 0.0, 0.0, 0.0]","[3.0, 3.0, 3.0, 3.0, 3.0]",2013-06-01,5,"[0.0, 0.0, 0.0, 0.0, 0.0]"
70003252,"[0.0, -2.0]","[3.0, 3.0, 4.0]",2013-06-01,3,"[2.0, 2.0, 0.0]"
70003260,"[0.0, 0.0, 0.0, 0.0]","[3.0, 1.0, 1.0, 1.0, 1.0]",2013-06-01,5,"[0.0, 0.0, 0.0, 0.0, 0.0]"
70003265,"[-1.0, 0.0, 1.0, 0.0]","[5.0, 3.0, 3.0, 3.0, 3.0]",2013-06-01,5,"[1.0, 0.0, 0.0, 1.0, 1.0]"
70003271,"[-6.0, 13.0, 5.0, -9.0]","[3.0, 4.0, 5.0, 8.0, 9.0]",2013-06-01,5,"[10.0, 4.0, 17.0, 22.0, 13.0]"
70006274,[4.0],"[0.0, 2.0]",2013-06-01,2,"[2.0, 6.0]"
70006288,"[-3.0, 0.0]","[6.0, 4.0, 4.0]",2013-06-01,3,"[4.0, 1.0, 1.0]"
70006290,"[2.0, -3.0, 3.0, -1.0, -3.0]","[5.0, 4.0, 3.0, 4.0, 4.0, 4.0]",2013-06-01,6,"[5.0, 7.0, 4.0, 7.0, 6.0, 3.0]"
70006293,[1.0],"[3.0, 2.0]",2013-06-01,2,"[0.0, 1.0]"
70006299,"[55.0, 0.0, 0.0, 0.0]","[10.0, 25.0, 25.0, 25.0, 25.0]",2013-06-01,5,"[1.0, 56.0, 56.0, 56.0, 56.0]"
70006323,[-2.0],"[4.0, 3.0]",2013-06-01,2,"[3.0, 1.0]"
70006338,[0.0],"[2.0, 2.0]",2013-06-01,2,"[2.0, 2.0]"
70006365,"[0.0, 3.0]","[4.0, 3.0, 2.0]",2013-06-01,3,"[0.0, 0.0, 3.0]"
70006368,"[0.0, 0.0]","[3.0, 2.0, 1.0]",2013-06-01,3,"[2.0, 2.0, 2.0]"
70006399,"[1.0, 0.0]","[3.0, 2.0, 6.0]",2013-06-01,3,"[1.0, 2.0, 2.0]"
70009205,"[-1.0, -2.0]","[2.0, 3.0, 2.0]",2013-06-01,3,"[3.0, 2.0, 0.0]"
70009218,[1.0],"[3.0, 3.0]",2013-07-01,2,"[1.0, 2.0]"
70009224,"[-12.0, 3.0]","[5.0, 3.0, 6.0]",2013-06-01,3,"[13.0, 1.0, 4.0]"
70009243,"[4.0, -3.0]","[3.0, 5.0, 3.0]",2013-06-01,3,"[1.0, 5.0, 2.0]"
70009290,"[0.0, 0.0, 0.0, 0.0, 0.0]","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0]",2013-06-01,6,"[56.0, 56.0, 56.0, 56.0, 56.0, 56.0]"
70009324,[1.0],"[3.0, 3.0]",2013-06-01,2,"[1.0, 2.0]"
70009328,"[1.0, -1.0]","[2.0, 3.0, 2.0]",2013-06-01,3,"[0.0, 1.0, 0.0]"
70009362,[0.0],"[6.0, 6.0]",2013-06-01,2,"[1.0, 1.0]"
70009381,"[-5.0, 0.0]","[2.0, 1.0, 1.0]",2013-06-01,3,"[6.0, 1.0, 1.0]"
70009391,"[0.0, 1.0]","[2.0, 3.0, 3.0]",2013-06-01,3,"[2.0, 2.0, 3.0]"
70009469,"[1.0, 55.0]","[3.0, 10.0, 25.0]",2013-06-01,3,"[0.0, 1.0, 56.0]"
70009495,"[-23.0, 13.0]","[6.0, 3.0, 6.0]",2013-06-01,3,"[25.0, 2.0, 15.0]"
70009498,"[-2.0, 2.0, -2.0, 0.0]","[2.0, 1.0, 2.0, 2.0, 1.0]",2013-06-01,5,"[3.0, 1.0, 3.0, 1.0, 1.0]"
70009531,[0.0],"[4.0, 5.0]",2013-06-01,2,"[2.0, 2.0]"
70009536,"[0.0, 1.0]","[4.0, 3.0, 4.0]",2013-06-01,3,"[1.0, 1.0, 2.0]"
70009596,"[37.0, -58.0]","[5.0, 4.0, 1.0]",2013-06-01,3,"[42.0, 79.0, 21.0]"
70009694,"[-7.0, -2.0]","[6.0, 5.0, 3.0]",2013-06-01,3,"[10.0, 3.0, 1.0]"
70009792,"[-3.0, -4.0, 8.0, -7.0]","[7.0, 2.0, 3.0, 3.0, 4.0]",2013-06-01,5,"[8.0, 5.0, 1.0, 9.0, 2.0]"
70009801,"[-4.0, 0.0, 0.0, -1.0]","[4.0, 1.0, -1.0, 3.0, 1.0]",2013-06-01,5,"[5.0, 1.0, 1.0, 1.0, 0.0]"
70009836,"[-3.0, 0.0, 0.0, 1.0, 0.0]","[3.0, 3.0, 3.0, 3.0, 4.0, 4.0]",2013-06-01,6,"[4.0, 1.0, 1.0, 1.0, 2.0, 2.0]"
70009858,"[-1.0, -1.0, 3.0, -3.0]","[3.0, 3.0, 5.0, 4.0, 2.0]",2013-06-01,5,"[4.0, 3.0, 2.0, 5.0, 2.0]"
70009866,"[1.0, -1.0, 1.0, -1.0, 0.0]","[-1.0, 0.0, 0.0, 1.0, -1.0, -1.0]",2013-06-01,6,"[0.0, 1.0, 0.0, 1.0, 0.0, 0.0]"
70009874,"[4.0, -4.0, -1.0, 1.0]","[2.0, 2.0, 2.0, 2.0, 1.0]",2013-06-01,5,"[2.0, 6.0, 2.0, 1.0, 2.0]"
70009905,[2.0],"[5.0, 6.0]",2013-06-01,2,"[3.0, 5.0]"
70009913,"[55.0, -55.0, 55.0]","[6.0, 25.0, 6.0, 25.0]",2013-06-01,4,"[1.0, 56.0, 1.0, 56.0]"
70009925,"[3.0, -2.0, 2.0, -1.0, 9.0]","[4.0, 3.0, 3.0, 3.0, 3.0, 4.0]",2013-06-01,6,"[2.0, 5.0, 3.0, 5.0, 4.0, 13.0]"
70009926,"[1.0, 12.0, -12.0, -1.0, 1.0]","[3.0, 2.0, 4.0, 2.0, 1.0, -2.0]",2013-06-01,6,"[1.0, 2.0, 14.0, 2.0, 1.0, 2.0]"
70009966,"[1.0, -2.0, 1.0, 2.0, 7.0]","[6.0, 6.0, 6.0, 6.0, 10.0, 9.0]",2013-06-01,6,"[3.0, 4.0, 2.0, 3.0, 5.0, 12.0]"
70009992,"[0.0, 0.0, 0.0, 0.0, 0.0]","[3.0, 3.0, 3.0, 3.0, 3.0, 2.0]",2013-06-01,6,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
