,ID,DATE,TARGET_YEAR,>4,3.5-4,3-3.5,2.5-3,2-2.5,1.5-2,1-1.5,0.5-1,0-0.5,<0,QUARTERS_AWAY,Prediction_Number,uncertainty,OnePeriodMvt,Reduction
0,20,2007-01-01,2007,0.0,0.0,0.2,0.4,0.4,0.0,0.0,0.0,0.0,0.0,3,0,0.64,,
1,20,2007-04-01,2007,0.0,0.0,0.3,0.6,0.1,0.0,0.0,0.0,0.0,0.0,2,1,0.54,0.14,0.1
2,20,2007-07-01,2007,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.3,0.0,0.0,1,2,0.66,0.8,-0.12
3,20,2007-10-01,2007,0.0,0.0,0.0,0.0,0.1,0.4,0.5,0.0,0.0,0.0,0,3,0.58,0.14,0.08
4,20,2007-12-31,2007,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,4,0.0,1.42,0.58
5,20,2007-01-01,2008,0.0,0.0,0.0,0.3,0.5,0.2,0.0,0.0,0.0,0.0,7,0,0.62,,
6,20,2007-04-01,2008,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,6,1,0.48,0.06,0.14
7,20,2007-07-01,2008,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.0,0.0,0.0,5,2,0.64,0.4,-0.16
8,20,2007-10-01,2008,0.0,0.0,0.0,0.0,0.3,0.3,0.4,0.0,0.0,0.0,4,3,0.66,0.06,-0.02
9,20,2008-04-01,2008,0.0,0.1,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,2,4,0.66,0.56,0.0
10,20,2008-07-01,2008,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1,5,0.48,0.22,0.18
11,20,2008-12-31,2008,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1,6,0.0,1.52,0.48
12,20,2008-04-01,2009,0.0,0.0,0.2,0.5,0.3,0.0,0.0,0.0,0.0,0.0,6,0,0.62,,
13,20,2008-07-01,2009,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0.48,0.14,0.14
14,20,2009-04-01,2009,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.42,1.1,0.06
15,20,2009-12-31,2009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,3,0.0,1.58,0.42
16,20,2009-04-01,2010,0.0,0.0,0.0,0.25,0.5,0.25,0.0,0.0,0.0,0.0,6,0,0.625,,
17,20,2010-12-31,2010,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,1,0.0,1.375,0.625
18,84,2009-07-01,2009,0.0,0.0,0.0,0.1,0.4,0.35,0.08,0.04,0.02,0.01,1,0,0.699,,
19,84,2009-12-31,2009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,1,0.0,1.141,0.699
20,84,2009-07-01,2010,0.0,0.0,0.0,0.1,0.4,0.4,0.1,0.0,0.0,0.0,5,0,0.66,,
21,84,2010-12-31,2010,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,1,0.0,1.14,0.66
22,99,2007-04-01,2007,0.0,0.0,0.05,0.14,0.4,0.31,0.06,0.02,0.01,0.01,2,0,0.718,,
23,99,2007-12-31,2007,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,0.0,1.282,0.718
24,99,2007-04-01,2008,0.0,0.0,0.03,0.15,0.39,0.35,0.06,0.02,0.0,0.0,6,0,0.698,,
25,99,2008-01-01,2008,0.01,0.02,0.05,0.18,0.35,0.2,0.1,0.04,0.03,0.02,3,1,0.789,0.029,-0.091
26,99,2008-07-01,2008,0.03,0.12,0.22,0.2,0.18,0.15,0.04,0.03,0.02,0.01,1,2,0.838,0.075,-0.049
27,99,2008-10-01,2008,0.02,0.03,0.1,0.25,0.47,0.06,0.03,0.02,0.02,0.0,0,3,0.7,0.118,0.138
28,99,2008-12-31,2008,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1,4,0.0,1.18,0.7
29,99,2008-01-01,2009,0.02,0.03,0.06,0.14,0.3,0.2,0.16,0.05,0.03,0.01,7,0,0.816,,
30,99,2008-07-01,2009,0.05,0.06,0.2,0.25,0.23,0.09,0.06,0.03,0.02,0.01,5,1,0.825,0.061,-0.009
31,99,2008-10-01,2009,0.03,0.05,0.15,0.19,0.49,0.05,0.04,0.0,0.0,0.0,4,2,0.694,0.078,0.131
32,99,2009-10-01,2009,0.04,0.06,0.1,0.2,0.25,0.1,0.1,0.1,0.03,0.02,0,3,0.851,0.078,-0.157
33,99,2009-12-31,2009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,4,0.0,0.949,0.851
34,99,2009-10-01,2010,0.04,0.07,0.14,0.2,0.2,0.15,0.1,0.1,0.0,0.0,4,0,0.851,,
35,99,2010-12-31,2010,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,1,0.0,0.949,0.851
36,407,2007-01-01,2007,0.0,0.0,0.1,0.7,0.2,0.0,0.0,0.0,0.0,0.0,3,0,0.46,,
37,407,2007-04-01,2007,0.0,0.0,0.1,0.6,0.3,0.0,0.0,0.0,0.0,0.0,2,1,0.54,0.02,-0.08
38,407,2007-10-01,2007,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0,2,0.48,0.14,0.06
39,407,2007-12-31,2007,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,3,0.0,1.52,0.48
40,407,2007-01-01,2008,0.0,0.0,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,7,0,0.56,,
41,407,2007-04-01,2008,0.0,0.0,0.2,0.7,0.1,0.0,0.0,0.0,0.0,0.0,6,1,0.46,0.02,0.1
42,407,2007-10-01,2008,0.0,0.0,0.1,0.7,0.2,0.0,0.0,0.0,0.0,0.0,4,2,0.46,0.02,0.0
43,407,2008-01-01,2008,0.0,0.0,0.05,0.55,0.4,0.0,0.0,0.0,0.0,0.0,3,3,0.535,0.065,-0.075
44,407,2008-04-01,2008,0.0,0.0,0.2,0.75,0.05,0.0,0.0,0.0,0.0,0.0,2,4,0.395,0.185,0.14
45,407,2008-07-01,2008,0.0,0.0,0.2,0.75,0.05,0.0,0.0,0.0,0.0,0.0,1,5,0.395,0.0,0.0
46,407,2008-10-01,2008,0.0,0.0,0.0,0.05,0.9,0.05,0.0,0.0,0.0,0.0,0,6,0.185,1.255,0.21
47,407,2008-12-31,2008,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1,7,0.0,1.715,0.185
48,407,2008-01-01,2009,0.0,0.0,0.2,0.65,0.15,0.0,0.0,0.0,0.0,0.0,7,0,0.515,,
49,407,2008-04-01,2009,0.0,0.05,0.7,0.25,0.0,0.0,0.0,0.0,0.0,0.0,6,1,0.445,0.435,0.07
50,407,2008-07-01,2009,0.0,0.05,0.7,0.25,0.0,0.0,0.0,0.0,0.0,0.0,5,2,0.445,0.0,0.0
51,407,2008-10-01,2009,0.0,0.0,0.0,0.05,0.85,0.1,0.0,0.0,0.0,0.0,4,3,0.265,1.265,0.18
52,407,2009-04-01,2009,0.0,0.0,0.0,0.05,0.75,0.2,0.0,0.0,0.0,0.0,2,4,0.395,0.02,-0.13
53,407,2009-07-01,2009,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,1,5,0.42,0.105,-0.025
54,407,2009-10-01,2009,0.0,0.0,0.0,0.0,0.95,0.05,0.0,0.0,0.0,0.0,0,6,0.095,0.155,0.325
55,407,2009-12-31,2009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,7,0.0,1.905,0.095
56,407,2009-04-01,2010,0.0,0.0,0.05,0.75,0.2,0.0,0.0,0.0,0.0,0.0,6,0,0.395,,
57,407,2009-07-01,2010,0.0,0.0,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,5,1,0.56,0.045,-0.165
58,407,2009-10-01,2010,0.0,0.0,0.05,0.9,0.05,0.0,0.0,0.0,0.0,0.0,4,2,0.185,0.135,0.375
59,407,2010-01-01,2010,0.0,0.0,0.0,0.1,0.5,0.4,0.0,0.0,0.0,0.0,3,3,0.58,1.005,-0.395
60,407,2010-04-01,2010,0.0,0.0,0.05,0.7,0.2,0.05,0.0,0.0,0.0,0.0,2,4,0.465,0.575,0.115
61,407,2010-07-01,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,1,5,0.48,1.055,-0.015
62,407,2010-10-01,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.45,0.0,0.0,0,6,0.495,0.045,-0.015
63,407,2010-12-31,2010,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,7,0.0,0.405,0.495
64,407,2010-01-01,2011,0.0,0.0,0.5,0.35,0.15,0.0,0.0,0.0,0.0,0.0,7,0,0.605,,
65,407,2010-04-01,2011,0.1,0.5,0.25,0.1,0.05,0.0,0.0,0.0,0.0,0.0,6,1,0.665,0.395,-0.06
66,407,2010-07-01,2011,0.0,0.0,0.15,0.4,0.25,0.1,0.1,0.0,0.0,0.0,5,2,0.735,0.42,-0.07
67,407,2010-10-01,2011,0.0,0.0,0.15,0.4,0.25,0.1,0.1,0.0,0.0,0.0,4,3,0.735,0.0,0.0
68,407,2011-01-01,2011,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,3,4,0.18,0.615,0.555
69,407,2011-04-01,2011,0.0,0.0,0.0,0.15,0.75,0.1,0.0,0.0,0.0,0.0,2,5,0.405,0.045,-0.225
70,407,2011-07-01,2011,0.0,0.0,0.0,0.1,0.75,0.15,0.0,0.0,0.0,0.0,1,6,0.405,0.005,0.0
71,407,2011-10-01,2011,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,7,0.0,0.095,0.405
72,407,2011-12-31,2011,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,8,0.0,2.0,0.0
73,407,2011-01-01,2012,0.0,0.0,0.15,0.75,0.1,0.0,0.0,0.0,0.0,0.0,7,0,0.405,,
74,407,2011-04-01,2012,0.0,0.0,0.05,0.75,0.15,0.05,0.0,0.0,0.0,0.0,6,1,0.41,0.015,-0.005
75,407,2011-07-01,2012,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,5,2,0.48,0.09,-0.07
76,407,2011-10-01,2012,0.0,0.0,0.0,0.15,0.8,0.05,0.0,0.0,0.0,0.0,4,3,0.335,0.365,0.145
77,407,2012-01-01,2012,0.0,0.0,0.0,0.2,0.7,0.1,0.0,0.0,0.0,0.0,3,4,0.46,0.015,-0.125
78,407,2012-04-01,2012,0.0,0.0,0.0,0.15,0.75,0.1,0.0,0.0,0.0,0.0,2,5,0.405,0.005,0.055
79,407,2012-07-01,2012,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,1,6,0.375,0.02,0.03
80,407,2012-12-31,2012,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1,7,0.0,1.625,0.375
81,407,2012-01-01,2013,0.0,0.0,0.05,0.6,0.2,0.15,0.0,0.0,0.0,0.0,7,0,0.575,,
82,407,2012-04-01,2013,0.0,0.0,0.15,0.75,0.1,0.0,0.0,0.0,0.0,0.0,6,1,0.405,0.065,0.17
83,407,2012-07-01,2013,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,5,2,0.375,0.045,0.03
84,407,2013-01-01,2013,0.0,0.0,0.1,0.55,0.35,0.0,0.0,0.0,0.0,0.0,3,3,0.565,0.06,-0.19
85,407,2013-04-01,2013,0.0,0.0,0.0,0.0,0.85,0.15,0.0,0.0,0.0,0.0,2,4,0.255,0.585,0.31
86,407,2013-10-01,2013,0.0,0.0,0.0,0.0,0.05,0.95,0.0,0.0,0.0,0.0,0,5,0.095,1.28,0.16
87,407,2013-12-31,2013,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,6,0.0,1.905,0.095
88,407,2013-01-01,2014,0.0,0.0,0.45,0.35,0.15,0.05,0.0,0.0,0.0,0.0,7,0,0.65,,
89,407,2013-04-01,2014,0.0,0.0,0.0,0.55,0.45,0.0,0.0,0.0,0.0,0.0,6,1,0.495,0.335,0.155
90,407,2013-10-01,2014,0.0,0.0,0.0,0.75,0.2,0.05,0.0,0.0,0.0,0.0,4,2,0.395,0.105,0.1
91,407,2014-01-01,2014,0.0,0.0,0.0,0.0,0.15,0.85,0.0,0.0,0.0,0.0,3,3,0.255,1.205,0.14
92,407,2014-04-01,2014,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,2,4,0.32,0.005,-0.065
93,407,2014-12-31,2014,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,5,0.0,1.68,0.32
94,407,2014-01-01,2015,0.0,0.0,0.0,0.1,0.8,0.1,0.0,0.0,0.0,0.0,7,0,0.34,,
95,407,2014-04-01,2015,0.0,0.0,0.0,0.1,0.8,0.1,0.0,0.0,0.0,0.0,6,1,0.34,0.0,0.0
96,407,2015-12-31,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1,2,0.0,1.66,0.34
97,411,2007-01-01,2007,0.0,0.0,0.03,0.3,0.45,0.2,0.02,0.0,0.0,0.0,3,0,0.666,,
98,411,2007-04-01,2007,0.0,0.0,0.03,0.35,0.5,0.1,0.02,0.0,0.0,0.0,2,1,0.616,0.015,0.05
99,411,2007-07-01,2007,0.0,0.0,0.03,0.35,0.35,0.25,0.02,0.0,0.0,0.0,1,2,0.691,0.045,-0.075
100,411,2007-10-01,2007,0.0,0.0,0.03,0.35,0.35,0.25,0.02,0.0,0.0,0.0,0,3,0.691,0.0,0.0
101,411,2007-12-31,2007,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,4,0.0,1.309,0.691
102,411,2007-01-01,2008,0.0,0.0,0.05,0.33,0.33,0.24,0.05,0.0,0.0,0.0,7,0,0.72,,
103,411,2007-04-01,2008,0.0,0.0,0.05,0.3,0.35,0.25,0.05,0.0,0.0,0.0,6,1,0.72,0.001,0.0
104,411,2007-07-01,2008,0.0,0.0,0.05,0.3,0.35,0.25,0.05,0.0,0.0,0.0,5,2,0.72,0.0,0.0
105,411,2007-10-01,2008,0.0,0.0,0.05,0.3,0.35,0.25,0.05,0.0,0.0,0.0,4,3,0.72,0.0,0.0
106,411,2008-04-01,2008,0.0,0.0,0.05,0.45,0.4,0.1,0.0,0.0,0.0,0.0,2,4,0.625,0.05,0.095
107,411,2008-07-01,2008,0.0,0.0,0.07,0.5,0.4,0.03,0.0,0.0,0.0,0.0,1,5,0.584,0.008,0.041
108,411,2008-10-01,2008,0.0,0.0,0.0,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0,6,0.56,0.164,0.024
109,411,2008-12-31,2008,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1,7,0.0,1.04,0.56
110,411,2008-04-01,2009,0.0,0.0,0.0,0.2,0.4,0.4,0.0,0.0,0.0,0.0,6,0,0.64,,
111,411,2008-07-01,2009,0.0,0.0,0.0,0.15,0.4,0.35,0.1,0.0,0.0,0.0,5,1,0.685,0.015,-0.045
112,411,2008-10-01,2009,0.0,0.0,0.0,0.0,0.3,0.5,0.2,0.0,0.0,0.0,4,2,0.62,0.065,0.065
113,411,2009-01-01,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.5,3,3,0.62,0.76,0.0
114,411,2009-04-01,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.5,2,4,0.62,0.0,0.0
115,411,2009-07-01,2009,0.0,0.0,0.0,0.0,0.2,0.5,0.2,0.1,0.0,0.0,1,5,0.66,0.68,-0.04
116,411,2009-10-01,2009,0.0,0.0,0.0,0.0,0.2,0.5,0.2,0.1,0.0,0.0,0,6,0.66,0.0,0.0
117,411,2009-12-31,2009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,7,0.0,0.94,0.66
118,411,2009-01-01,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.15,0.3,0.5,7,0,0.635,,
119,411,2009-04-01,2010,0.0,0.0,0.0,0.0,0.0,0.05,0.15,0.3,0.1,0.4,6,1,0.715,0.085,-0.08
120,411,2009-07-01,2010,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.2,0.1,0.0,5,2,0.66,0.315,0.055
121,411,2009-10-01,2010,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.2,0.1,0.0,4,3,0.66,0.0,0.0
122,411,2010-01-01,2010,0.0,0.0,0.0,0.0,0.2,0.4,0.3,0.1,0.0,0.0,3,4,0.7,0.14,-0.04
123,411,2010-04-01,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.3,0.1,2,5,0.7,0.4,0.0
